Date,Suffix,KM,Dplus,Top,People,Name,Type,Comment,id,EventLink,TrailShortLink,TrailFullLink,Trail1,Trail2,Album,HavePhoto
2021-06-12,,14.6,1360,1800,5,"🥾 Hike: Around Saint-Même Circus 🎪🌲",Hike,,278751351,https://www.meetup.com/grenoble-adventure-club-english-french/events/278751351,https://s.42l.fr/mGKnsVGZ,,,,2021-06-12-🥾-Hike-Around-Saint-Meme-Circus-🎪🌲.html,
2021-06-18,,6.5,580,635,34,"Night Hike/Rando: Bastile my Moonlight (To celebrate change in Curfew)",Hike,,278640679,https://www.meetup.com/grenoble-adventure-club-english-french/events/278640679,https://s.42l.fr/Xs8Xh1t6,,,,2021-06-18-Night-Hike-Rando-Bastile-my-Moonlight-To-celebrate-change-in-Curfew.html,
2021-06-19,,6.6,200,381,13,"😎 Chill: spend the heatwave near a 🥶🧊 river",Hike,,278870107,https://www.meetup.com/grenoble-adventure-club-english-french/events/278870107,https://s.42l.fr/eS1BeHZJ,,,,2021-06-19-😎-Chill-spend-the-heatwave-near-a-🥶🧊-river.html,
2021-06-20,,,,,,"🥾 Hike: Lakes Achard & Robert 🏊‍♀️🥶🧊",Cancelled,"Rain and hail",278892953,https://www.meetup.com/grenoble-adventure-club-english-french/events/278892953,,,,,,No
2021-06-21,,5.2,10,213,8,"📷 Visit: No Music Festival tonight, then let's enjoy some street art 🎨✨",Hike,,278974564,https://www.meetup.com/grenoble-adventure-club-english-french/events/278974564,https://s.42l.fr/6Qt5ORwX,,,,"2021-06-21-📷-Visit-No-Music-Festival-tonight,-then-lets-enjoy-some-street-art-🎨✨.html",
2021-06-25,,,,,1,"Afterwork hike : Sunset at Moucherotte",Cancelled,,279041438,https://www.meetup.com/grenoble-adventure-club-english-french/events/279041438,,,,,,No
2021-06-26,,14.5,990,1987,20,"🥾 Hike: Lac de la Moucherolle 🏊‍♀️🥶",Hike,,279039579,https://www.meetup.com/grenoble-adventure-club-english-french/events/279039579,https://s.42l.fr/CQVBzcm2,,,,2021-06-26-🥾-Hike-Lac-de-la-Moucherolle-🏊‍♀️🥶.html,
2021-07-01,,,,,22,"🍺 Apéro + 🧗‍♂️ Climbing for noobs",Climbing,,279129705,https://www.meetup.com/grenoble-adventure-club-english-french/events/279129705,,,,,2021-07-01-🍺-Apero-🧗‍♂️-Climbing-for-noobs.html,
2021-07-02,,,,,3,"🛼 Roller: ""Grenoble roller hike"" is back",Roller,,279188833,https://www.meetup.com/grenoble-adventure-club-english-french/events/279188833,,,,,,No
2021-07-02,,8,750,2082,3,"Afterwork hike : Sunset at Chamechaude",Hike,,279179867,https://www.meetup.com/grenoble-adventure-club-english-french/events/279179867,https://s.42l.fr/d1RYMkli,,,,,No
2021-07-03,,10,630,1407,15,"🥾 Hike: Easy hike around Le Sappey and L'Ecoutoux 😎",Hike,,279213815,https://www.meetup.com/grenoble-adventure-club-english-french/events/279213815,https://s.42l.fr/1r0e2-C8,,,,2021-07-03-🥾-Hike-Easy-hike-around-Le-Sappey-and-LEcoutoux-😎.html,
2021-07-04,,,,,9,"🔦Speleology in Vercors: Grotte des Eymards (Eymards Cave) 🧗",Caving,,279171624,https://www.meetup.com/grenoble-adventure-club-english-french/events/279171624,,,,,2021-07-04-🔦Speleology-in-Vercors-Grotte-des-Eymards-Eymards-Cave-🧗.html,
2021-07-10,,8.4,806,2083,11,"🥾⛺ 2 days/1 night hike: only for GOOD hikers 🐐",Hike,"day 1",279313627,https://www.meetup.com/grenoble-adventure-club-english-french/events/279313627,https://s.42l.fr/QAlWe3pD,,,,2021-07-10-🥾⛺-2-days-1-night-hike-only-for-GOOD-hikers-🐐.html,
2021-07-11,,14.2,1234,2341,11,"🥾⛺ 2 days/1 night hike: only for GOOD hikers 🐐",Hike,"day 2",279313627,https://www.meetup.com/grenoble-adventure-club-english-french/events/279313627,https://s.42l.fr/r37xi2iT,,,,2021-07-10-🥾⛺-2-days-1-night-hike-only-for-GOOD-hikers-🐐.html,
2021-07-14,,,,,5,"🌧️ Bad weather 🌧️ = Escape Game 🧐",Game,,279439068,https://www.meetup.com/grenoble-adventure-club-english-french/events/279439068,,,,,,No
2021-07-18,,,,,8,"Canyoning in Vercors (Partie Basse les Ecouges): 🌊🧗",Canyoning,,279459816,https://www.meetup.com/grenoble-adventure-club-english-french/events/279459816,,,,,,No
2021-07-22,,9,750,1901,3,"Afterwork hike : Sunset at Moucherotte",Hike,,279598655,https://www.meetup.com/grenoble-adventure-club-english-french/events/279598655,https://s.42l.fr/le-moucherotte,,,,,No
2021-07-24,,10.2,856,951,23,"🥾 Hike: Easy hike around La Cuche (+maybe some cold stream 🏊‍♀️)",Hike,,279618542,https://www.meetup.com/grenoble-adventure-club-english-french/events/279618542,https://s.42l.fr/O9DUsOfI,,,,2021-07-24-🥾-Hike-Easy-hike-around-La-Cuche-maybe-some-cold-stream-🏊‍♀️.html,
2021-08-01,,13.5,700,1643,21,"🥾 Hike: GR9 - La Buffe 🗻 1623m - La Sure 🗻1643m",Hike,,279800883,https://www.meetup.com/grenoble-adventure-club-english-french/events/279800883,https://s.42l.fr/lVyODh6Y,,,,2021-08-01-🥾-Hike-GR9-La-Buffe-🗻-1623m-La-Sure-🗻1643m.html,
2021-08-07,,15,1127,2208,17,"🥾 Hike: Sanctuaire de N.-D. de la Salette ⛪",Hike,,279039077,https://www.meetup.com/grenoble-adventure-club-english-french/events/279039077,https://s.42l.fr/MfGJyGuM,,,,2021-08-07-🥾-Hike-Sanctuaire-de-N-D-de-la-Salette-⛪.html,
2021-08-08,,15,950,722,5,"🥾 Hike: around Néron + up to Jalla (+maybe some cold stream 🏊‍♀️)",Hike,,279954414,https://www.meetup.com/grenoble-adventure-club-english-french/events/279954414,https://s.42l.fr/_MqyjH8A,,,,2021-08-08-🥾-Hike-around-Neron-up-to-Jalla-maybe-some-cold-stream-🏊‍♀️.html,
2021-08-12,,7.4,475,635,10,"🌠⛺ Night of the shooting stars! Let's go to Jalla (and why not sleep there) 🌠",Hike,,280013297,https://www.meetup.com/grenoble-adventure-club-english-french/events/280013297,https://s.42l.fr/VciaZ431,,,,2021-08-12-🌠⛺-Night-of-the-shooting-stars-Lets-go-to-Jalla-and-why-not-sleep-there-🌠.html,
2021-08-14,canyon,,,,9,"2nd try - Canyoning in Vercors (Partie Basse les Ecouges): 🌊🧗",Canyoning,,279907865,https://www.meetup.com/grenoble-adventure-club-english-french/events/279907865,,,,,2021-08-14-2nd-try-Canyoning-in-Vercors-Partie-Basse-les-Ecouges-🌊🧗.html,
2021-08-14,,18,1232,2420,21,"🥾 Hike: too hot on Saturday, let's swim in a 2400m lake 🥶😱",Hike,,280053697,https://www.meetup.com/grenoble-adventure-club-english-french/events/280053697,https://s.42l.fr/2Mzq-xbQ,,,,"2021-08-14-🥾-Hike-too-hot-on-Saturday,-lets-swim-in-a-2400m-lake-🥶😱.html",
2021-08-15,,11,70,226,1,"🥾🏊‍♀️ Hike: too hot on Sunday, enjoy the lake ""Bois Français"" 🏊‍♀️🌞",Hike,,280070147,https://www.meetup.com/grenoble-adventure-club-english-french/events/280070147,https://s.42l.fr/hbxWc5uW,,,,,No
2021-08-15,canoe,11,70,232,20,"🚣 Canoe: 11km hike to Bois Français and back in Grenoble with 20km canoe 🚣",Canoe,,280011169,https://www.meetup.com/grenoble-adventure-club-english-french/events/280011169,https://s.42l.fr/hbxWc5uW,,,,2021-08-15-🚣-Canoe-11km-hike-to-Bois-Francais-and-back-in-Grenoble-with-20km-canoe-🚣.html,
2021-08-21,,14,981,2241,21,"🧗‍♂️🥾 Via-Ferrata: hike + 2 via near Lacs Robert (2000m lakes swim 🥶)",Via,,280199683,https://www.meetup.com/grenoble-adventure-club-english-french/events/280199683,https://s.42l.fr/jph6_-wT,,,,2021-08-21-🧗‍♂️🥾-Via-Ferrata-2-via-near-Lacs-Robert-2000m-lakes-swim-🥶.html,
2021-08-22,,12.3,500,690,32,"Once more unto the bridges, dear friends, once more!",Hike,,280081009,https://www.meetup.com/grenoble-adventure-club-english-french/events/280081009,https://s.42l.fr/1ctzQXbL,,,,"2021-08-22-Once-more-unto-the-bridges,-dear-friends,-once-more.html",
2021-08-29,,12,644,700,29,"🥾 Hike: Rocher de la Garde + refreshing 'surprise' 😍",Hike,,280365369,https://www.meetup.com/grenoble-adventure-club-english-french/events/280365369,https://s.42l.fr/iUMrGs28,,,,2021-08-29-🥾-Hike-Rocher-de-la-Garde-refreshing-surprise-😍.html,
2021-09-04,,7.62,684,2062,11,"🥾 Hike: Le Dent de Crolles",Hike,,280491067,https://www.meetup.com/grenoble-adventure-club-english-french/events/280491067,https://s.42l.fr/xc6LTRzQ,,,,2021-09-04-🥾-Hike-Le-Dent-de-Crolles.html,
2021-09-12,,6.1,292,567,35,"Easy Hike: Le Belvédère de Vizille",Hike,,280647897,https://www.meetup.com/grenoble-adventure-club-english-french/events/280647897,https://s.42l.fr/4fAydvRz,,,,2021-09-12-Easy-Hike-Le-Belvedere-de-Vizille.html,
2021-09-18,,10,577,1923,3,"🥾 Pic St-Michel 🥾",Hike,,280800846,https://www.meetup.com/grenoble-adventure-club-english-french/events/280800846,https://s.42l.fr/CUgSnnEu,,,,2021-09-18-🥾-Pic-St-Michel-🥾.html,
2021-09-19,,7,587,2082,14,"Moderate Hike: Chamechaude (+Basic Technical Skills)",Hike,,280799948,https://www.meetup.com/grenoble-adventure-club-english-french/events/280799948,https://s.42l.fr/z3dgYEs3,,,,2021-09-19-Moderate-Hike-Chamechaude-Basic-Technical-Skills.html,
2021-09-24,,2.5,175,1867,9,"Afterwork hike : Sunset at Charmant Som",Hike,,280971141,https://www.meetup.com/grenoble-adventure-club-english-french/events/280971141,https://s.42l.fr/mTXVfMJE,,,,2021-09-24-Afterwork-hike-Sunset-at-Charmant-Som.html,
2021-09-25,pinea,15,755,1867,11,"🥾 Hike: La Pinea and Charmant Som from Col de Port",Hike,,280948002,https://www.meetup.com/grenoble-adventure-club-english-french/events/280948002,https://s.42l.fr/l0NW-iGM,,,,2021-09-25-🥾-Hike-La-Pinea-and-Charmant-Som-from-Col-de-Port.html,
2021-09-25,,22.2,2359,2927,3,"Hike : Le Rocher Blanc (top at 2928m)",Hike,,280986658,https://www.meetup.com/grenoble-adventure-club-english-french/events/280986658,https://s.42l.fr/bi8ySs9T,,,,2021-09-25-Hike-Le-Rocher-Blanc-top-at-2928m.html,
2021-10-01,,,,,,"Afterwork hike : Sunset at Aiguille de Chalais",Cancelled,,281127427,https://www.meetup.com/grenoble-adventure-club-english-french/events/281127427,,,,,,No
2021-10-02,,16,1630,2692,7,"Hike : La grande lance de Domène (top at 2790m)",Hike,,281127669,https://www.meetup.com/grenoble-adventure-club-english-french/events/281127669,https://s.42l.fr/uyZCbHoe,,,,2021-10-02-Hike-La-grande-lance-de-Domene-top-at-2790m.html,
2021-10-02,crozet,8,619,1965,29,"🥾 Hike to Lac du Crozet 🏞",Hike,,281088533,https://www.meetup.com/grenoble-adventure-club-english-french/events/281088533,https://s.42l.fr/4BSgVwBW,,,,2021-10-02-🥾-Hike-to-Lac-du-Crozet-🏞.html,
2021-10-09,,7.3,321,1711,16,"🥾 Hike: Beauregard + Peyrouse 😎🐛🐔",Hike,,281266956,https://www.meetup.com/grenoble-adventure-club-english-french/events/281266956,https://s.42l.fr/J8cZvHTK,,,,2021-10-09-🥾-Hike-Beauregard-Peyrouse-😎🐛🐔.html,
2021-10-10,,14.4,1310,2857,18,"🥾 Hike: Le Taillefer 🗻🤯 + Lac du Brouffier 🥵🥶",Hike,,281266733,https://www.meetup.com/grenoble-adventure-club-english-french/events/281266733,https://s.42l.fr/6Ge5j1Qz,,,,2021-10-10-🥾-Hike-Le-Taillefer-🗻-and-Lac-du-Brouffier-🥵🤯.html,
2021-10-16,,22,1500,2480,8,"2 days hike with an outdoor night high in the mountains, close to Chamonix",Hike,,281408280,https://www.meetup.com/grenoble-adventure-club-english-french/events/281408280,"https://s.42l.fr/INppDj6A https://s.42l.fr/QfOHjFiN",,,,"2021-10-16-2-days-hike-with-an-outdoor-night-high-in-the-mountains,-close-to-Chamonix.html",
2021-10-17,,6,550,1560,14,"🥾Hiking up, zipline down / bring your *** out of town🥾",Hike,,281422283,https://www.meetup.com/grenoble-adventure-club-english-french/events/281422283,https://s.42l.fr/VNU65khi,,,,"2021-10-17-🥾Hiking-up,-zipline-down-bring-your-out-of-town🥾.html",
2021-10-23,,9,600,1391,5,"🥾 Moderate Hike: Tour du monastère de la grande chartreuse ⛪",Hike,,281602362,https://www.meetup.com/grenoble-adventure-club-english-french/events/281602362,https://s.42l.fr/H-U97tnl,,,,2021-10-23-🥾-Moderate-Hike-Tour-du-monastere-de-la-grande-chartreuse.html,
2021-10-23,cancel,,,,1,"Last minute hike : le lac blanc",Cancelled,,281610094,https://www.meetup.com/grenoble-adventure-club-english-french/events/281610094,,,,,,No
2021-10-24,,9.1,770,1901,20,"Moderate Hike: Le Moucherotte",Hike,,281576827,https://www.meetup.com/grenoble-adventure-club-english-french/events/281576827,https://s.42l.fr/le-moucherotte,,,,2021-10-24-Moderate-Hike-Le-Moucherotte.html,
2021-10-31,,10.4,519,975,18,"🥾 Hike: Belvedere du Puy 😎",Hike,,281770338,https://www.meetup.com/grenoble-adventure-club-english-french/events/281770338,https://s.42l.fr/samYLCpB,,,,2021-10-31-🥾-Hike-Belvedere-du-Puy-😎.html,
2021-11-06,,12.6,1093,2341,4,"Hike in snow : Le grand Veymont (highest top of Vercors)",Hike,,281896978,https://www.meetup.com/grenoble-adventure-club-english-french/events/281896978,https://s.42l.fr/00OiZIqn,,,,2021-11-06-Hike-in-snow-Le-grand-Veymont-highest-top-of-Vercors.html,
2021-11-07,orient,9.7,400,1623,2,"Hike above clouds : Le bec de l’Orient",Hike,,281925413,https://www.meetup.com/grenoble-adventure-club-english-french/events/281925413,https://s.42l.fr/UErNPu-C,,,,2021-11-07-Hike-above-clouds-Le-bec-de-lOrient.html,
2021-11-07,,6.5,455,1441,9,"🥾 Hike: Rocher de l'Épérimont 😎🍁🍂",Hike,,281924819,https://www.meetup.com/grenoble-adventure-club-english-french/events/281924819,https://s.42l.fr/HaAl,,,,2021-11-07-🥾-Hike-Rocher-de-lEperimont-😎🍁🍂.html,
